name,type,score,score_num
药师帮,医疗健康,5,11
轻微课,学习教育,4,5
爱病理,医疗健康,0,1
JJ直播,影音视听,0,0
两河汇,时尚购物,0,1
绿豆芽,聊天社交,0,1
一指蟾,居家生活,0,0
河狸家,时尚购物,3.5,48
美妍贷,金融理财,0,0
万视通,聊天社交,0,0
易房宝,居家生活,0,0
阳光FM,影音视听,0,4
点实惠,摄影摄像,0,0
风信购,时尚购物,0,0
友房通,实用工具,0,0
爱友缘,聊天社交,0,0
华住会,旅行交通,1.5,1677
吉悦动,体育运动,0,0
米课圈,聊天社交,0,0
药京采,医疗健康,0,1
发型屋,摄影摄像,5,1786
博金贷,金融理财,5,89
大商圈,时尚购物,0,0
电安心,效率办公,0,0
二手集,时尚购物,0,4
垃圾宝,实用工具,0,0
店店店,时尚购物,0,0
懒赚宝,时尚购物,0,0
马克巴,居家生活,4,33
GIF相机,摄影摄像,0,0
趣鹿途,旅行交通,0,0
睦合达,体育运动,3.5,110
买文具,时尚购物,0,0
店之家,居家生活,0,0
乾贷网,金融理财,0,1
碧有信,金融理财,3.5,7
长乐帮,聊天社交,0,0
淘加油,时尚购物,0,0
山海菁,时尚购物,0,0
球友汇,体育运动,0,0
甜悦读,图书阅读,0,0
微热点,效率办公,5,6
新重庆,新闻资讯,5,28
管账宝,金融理财,5,151
婴儿香,居家生活,0,0
Diri Fit,医疗健康,0,0
易达付,实用工具,0,0
LED空间,实用工具,0,0
有看头,实用工具,1,40
管车侠,旅行交通,5,128
车安云,旅行交通,0,1
Uni有你,影音视听,0,0
中沥网,时尚购物,0,0
易装网,居家生活,0,0
游米游,旅行交通,0,0
亿通行,旅行交通,5,8300
穿山豹,实用工具,0,0
POCO相机,摄影摄像,4,2992
大四川,新闻资讯,0,0
拾麦团,时尚购物,0,0
Owhat Lab,时尚购物,0,0
全是瑜,体育运动,0,1
华润通,时尚购物,1.5,88
诗歌本,图书阅读,5,2689
i许昌,居家生活,0,0
燃店,效率办公,0,0
adidas,时尚购物,0,0
e钱庄,金融理财,5,140
众望,新闻资讯,0,0
游牧,摄影摄像,0,0
有迹,摄影摄像,0,0
微健,体育运动,2,5
派社,聊天社交,0,0
桩桩,效率办公,5,9
陆POS,金融理财,0,0
趣买,时尚购物,0,0
约趣,聊天社交,0,0
云拍,时尚购物,0,0
玩瓣,聊天社交,0,0
斑集,时尚购物,0,0
pay伴,金融理财,0,0
喜赠,时尚购物,0,0
追问,聊天社交,0,0
等你,聊天社交,0,0
搭伙,居家生活,0,3
家炫,居家生活,0,0
e家政,居家生活,0,0
乂聊,聊天社交,0,0
购哩,时尚购物,0,0
冠寓,居家生活,0,0
可听,图书阅读,5,324
聚映,影音视听,0,0
湖畔,学习教育,3.5,6
启锐,学习教育,0,0
展信,聊天社交,0,0
5iwalk,体育运动,0,0
梨涡,居家生活,0,0
京喜,时尚购物,0,0
鲸鱼,金融理财,5,1902
在友,聊天社交,0,0
绝艺,时尚购物,5,29
聚圈,聊天社交,0,0
图播,摄影摄像,0,1
cosama,聊天社交,0,0
融365,金融理财,0,0
利淘,时尚购物,0,0
啦扑,聊天社交,0,0
她礼,聊天社交,0,0
LWSCAM,摄影摄像,0,0
咪鱼,体育运动,0,0
饭局狼人,游戏,3,2057
墨舟,学习教育,0,0
密马,时尚购物,0,0
萌煮,居家生活,2.5,16
好赞,聊天社交,4,68
怪拍,摄影摄像,5,159
爆APP,聊天社交,0,0
山海,图书阅读,0,0
好急,居家生活,0,0
晓悟,旅行交通,0,0
折啊,时尚购物,0,0
予宙,旅行交通,0,0
帮喷,摄影摄像,0,0
森鱼,聊天社交,0,0
守正,金融理财,0,0
还呗,金融理财,5,5223
搜才,实用工具,0,0
跑表,体育运动,0,1
赢佳,实用工具,0,0
邻住,聊天社交,0,0
月谈,聊天社交,0,0
库尔,聊天社交,0,0
战迹,旅行交通,5,6
脑行,聊天社交,0,0
UPhoto,摄影摄像,0,0
喔帮,体育运动,0,0
斗圈,聊天社交,0,0
星偶,聊天社交,0,0
微马,体育运动,3.5,7
美文,图书阅读,0,0
岳农,聊天社交,0,0
行吧,旅行交通,0,0
飞飞,聊天社交,0,0
悠鹤,时尚购物,0,0
柚乐,时尚购物,0,0
花间,影音视听,0,0
销品,时尚购物,0,0
择居,居家生活,0,0
衣图,聊天社交,0,0
一路三国,游戏,4.5,25
蚁立,聊天社交,0,0
辣选,时尚购物,0,0
租宝,居家生活,0,0
简图,摄影摄像,4,574
钉单,时尚购物,0,0
爱养成2,游戏,3.5,2397
OKKI,效率办公,0,0
Knock,聊天社交,0,0
车己,旅行交通,0,0
百房,居家生活,0,0
咕咚,体育运动,2.5,10833
路程,聊天社交,0,1
Corgi,聊天社交,0,0
多鹿,聊天社交,0,0
VOUN,影音视听,0,0
